ticket_id,text,channel,customer_tier,product_area,sentiment_score,account_age_days,priority
TCKT-00111,Where can I see the product documentation? Customer impact is increasing.,email,free,integrations,0.009,1095,low
TCKT-00420,"Minor typo in the help page, no urgent impact.",chat,free,billing,0.499,341,low
TCKT-00566,Export file is missing some recent records. Please respond as soon as possible.,email,standard,payments,-0.203,1754,medium
TCKT-00078,Where can I see the product documentation?,email,standard,integrations,0.021,1289,low
TCKT-00182,User cannot reset password after multiple attempts.,chat,standard,security,0.24,469,medium
TCKT-00285,Integration stopped syncing for one workspace.,web,free,integrations,0.331,840,medium
TCKT-00011,Payment failed for one customer but retry worked later.,chat,free,billing,0.1,748,medium
TCKT-00470,Security incident with suspicious account access. Please respond as soon as possible.,email,standard,performance,-0.649,40,high
TCKT-00079,User cannot reset password after multiple attempts.,web,premium,billing,0.088,380,medium
TCKT-00350,Production outage: all users cannot log in.,phone,enterprise,security,-0.365,513,high
TCKT-00056,Dashboard is slow and several charts time out.,chat,premium,login,0.33,1144,medium
TCKT-00119,Payment failed for one customer but retry worked later.,web,standard,payments,-0.1,1551,medium
TCKT-00110,How can I change my notification settings?,email,premium,performance,0.229,635,low
TCKT-00589,How can I change my notification settings?,email,standard,integrations,0.413,625,low
TCKT-00370,Security incident with suspicious account access. Please respond as soon as possible.,phone,enterprise,security,-0.451,728,high
TCKT-00235,"Minor typo in the help page, no urgent impact. Please respond as soon as possible.",email,free,billing,0.207,77,low
TCKT-00031,Question about updating my profile picture.,web,premium,billing,0.603,1302,low
TCKT-00213,"Minor typo in the help page, no urgent impact. Customer impact is increasing.",phone,free,performance,0.706,1052,low
TCKT-00185,"Minor typo in the help page, no urgent impact.",phone,free,integrations,0.444,354,low
TCKT-00087,"Minor typo in the help page, no urgent impact.",chat,premium,payments,0.275,1208,low
TCKT-00003,Security incident with suspicious account access.,phone,standard,payments,-0.596,1391,high
TCKT-00588,Dashboard is slow and several charts time out.,email,premium,integrations,0.053,775,medium
TCKT-00536,Payment failed for one customer but retry worked later. Customer impact is increasing.,email,premium,security,-0.003,666,medium
TCKT-00597,Question about updating my profile picture. Customer impact is increasing.,email,free,login,0.627,270,low
TCKT-00369,I need help finding the invoice download button.,web,free,security,0.188,416,low
TCKT-00540,Payment failed for one customer but retry worked later.,email,premium,login,0.262,1411,medium
TCKT-00073,Security incident with suspicious account access.,chat,premium,security,-0.147,1906,high
TCKT-00136,Export file is missing some recent records.,web,free,login,0.084,1045,medium
TCKT-00557,Dashboard is slow and several charts time out. Please respond as soon as possible.,email,free,login,-0.069,439,medium
TCKT-00438,Production outage: all users cannot log in.,phone,premium,payments,-0.134,2083,high
TCKT-00596,How can I change my notification settings?,web,standard,performance,0.474,1359,low
TCKT-00164,Export file is missing some recent records. Customer impact is increasing.,email,premium,billing,0.236,1317,medium
TCKT-00083,Payment failed for one customer but retry worked later.,web,standard,login,-0.465,1316,medium
TCKT-00258,How can I change my notification settings?,email,free,integrations,-0.146,1264,low
TCKT-00193,Where can I see the product documentation?,phone,standard,performance,0.401,511,low
TCKT-00454,Question about updating my profile picture.,phone,standard,integrations,0.14,1450,low
TCKT-00133,How can I change my notification settings?,chat,premium,integrations,0.259,1023,low
TCKT-00516,Payment failed for one customer but retry worked later.,email,free,login,0.039,2183,medium
TCKT-00442,"Minor typo in the help page, no urgent impact. Please respond as soon as possible. Customer impact is increasing.",email,free,integrations,-0.031,715,low
TCKT-00276,Export file is missing some recent records.,chat,standard,security,0.199,1494,medium
TCKT-00365,Enterprise customer reports data loss after migration.,email,premium,integrations,-0.529,2073,low
TCKT-00030,"Minor typo in the help page, no urgent impact.",email,free,login,0.459,2026,low
TCKT-00507,Payment processing is down for all regions.,chat,enterprise,login,-0.453,2158,high
TCKT-00571,Critical API errors affecting premium customers.,chat,enterprise,login,-0.549,1940,high
TCKT-00025,Production outage: all users cannot log in.,email,enterprise,billing,-0.632,877,high
TCKT-00183,Critical API errors affecting premium customers.,web,premium,login,-0.478,889,high
TCKT-00474,Dashboard is slow and several charts time out.,email,enterprise,performance,-0.109,437,medium
TCKT-00105,Payment failed for one customer but retry worked later.,web,standard,payments,0.067,1585,medium
TCKT-00064,Export file is missing some recent records.,chat,enterprise,login,-0.011,1284,medium
TCKT-00491,"Minor typo in the help page, no urgent impact. Customer impact is increasing.",web,premium,billing,0.494,1990,low
TCKT-00246,I need help finding the invoice download button.,email,standard,billing,0.081,784,low
TCKT-00249,I need help finding the invoice download button.,chat,standard,integrations,0.296,1381,low
TCKT-00102,"Minor typo in the help page, no urgent impact.",web,standard,security,0.422,1148,low
TCKT-00556,User cannot reset password after multiple attempts.,web,free,payments,0.272,21,low
TCKT-00592,Export file is missing some recent records.,chat,standard,login,-0.183,635,medium
TCKT-00357,Export file is missing some recent records. Please respond as soon as possible.,email,premium,payments,0.433,373,medium
TCKT-00210,"Minor typo in the help page, no urgent impact.",email,standard,billing,0.19,53,medium
TCKT-00166,Payment processing is down for all regions.,web,premium,payments,-0.527,1385,high
TCKT-00138,"Minor typo in the help page, no urgent impact. Please respond as soon as possible.",chat,free,integrations,0.172,75,low
TCKT-00196,How can I change my notification settings?,web,standard,security,0.115,295,low
TCKT-00077,Question about updating my profile picture.,chat,standard,security,0.33,1365,low
TCKT-00177,Export file is missing some recent records. Please respond as soon as possible.,web,free,performance,-0.319,2198,medium
TCKT-00330,User cannot reset password after multiple attempts.,chat,free,login,-0.1,1096,medium
TCKT-00537,"Minor typo in the help page, no urgent impact.",email,standard,integrations,0.575,629,medium
TCKT-00549,Payment failed for one customer but retry worked later. Customer impact is increasing.,email,free,performance,-0.561,1263,medium
TCKT-00071,"Minor typo in the help page, no urgent impact.",web,free,login,-0.006,1487,low
TCKT-00562,Export file is missing some recent records. Customer impact is increasing.,chat,premium,payments,-0.299,387,medium
TCKT-00590,I need help finding the invoice download button.,web,free,payments,0.016,1534,low
TCKT-00082,Payment failed for one customer but retry worked later.,email,free,integrations,-0.373,361,medium
TCKT-00317,Integration stopped syncing for one workspace. Please respond as soon as possible.,chat,premium,integrations,0.072,497,medium
TCKT-00305,Payment processing is down for all regions.,phone,enterprise,performance,-0.808,963,high
TCKT-00007,Dashboard is slow and several charts time out. Customer impact is increasing.,phone,standard,performance,-0.241,1718,medium
TCKT-00424,Payment processing is down for all regions.,email,premium,security,-0.392,1375,high
TCKT-00375,User cannot reset password after multiple attempts.,phone,enterprise,billing,-0.252,547,medium
TCKT-00430,User cannot reset password after multiple attempts.,email,free,performance,-0.151,1065,medium
TCKT-00538,Dashboard is slow and several charts time out. Please respond as soon as possible.,chat,premium,payments,0.126,1167,medium
TCKT-00313,Critical API errors affecting premium customers. Please respond as soon as possible.,email,premium,payments,-0.328,1627,high
TCKT-00239,Where can I see the product documentation? Please respond as soon as possible.,chat,free,integrations,0.448,610,low
TCKT-00560,"Minor typo in the help page, no urgent impact.",chat,free,security,0.284,668,low
TCKT-00433,Integration stopped syncing for one workspace.,chat,standard,performance,0.27,1701,medium
TCKT-00287,Integration stopped syncing for one workspace. Customer impact is increasing.,web,free,payments,-0.056,2061,medium
TCKT-00427,I need help finding the invoice download button. Customer impact is increasing.,email,standard,payments,0.582,1770,low
TCKT-00599,Payment failed for one customer but retry worked later. Please respond as soon as possible.,chat,standard,payments,0.431,1681,medium
TCKT-00362,Dashboard is slow and several charts time out.,phone,premium,security,-0.135,2093,medium
TCKT-00074,How can I change my notification settings?,email,free,login,0.481,266,low
TCKT-00040,Integration stopped syncing for one workspace.,chat,enterprise,billing,-0.009,1730,medium
TCKT-00156,Security incident with suspicious account access.,web,enterprise,integrations,-0.218,1379,high
TCKT-00219,Where can I see the product documentation?,chat,premium,login,0.134,1023,low
